Product ID	Variant ID	Product Type	Restaurant Name	Category	Name	Description	Price	On Sale	Sale Price	Stock	Visible
6314c24b8fa7f80b1bd47d33	387c709d-24b1-4510-8c33-02453bd29c44	Regular	alans-bakery	/Bakery Cookies	Finger Sprinkle Cookies	Finger Sprinkle Cookies.	9.59	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d24	e22b9bd7-be51-4cab-8672-9d45e3b800fa	Regular	alans-bakery	/Bakery Cookies	FUDGE Cookies	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c23	489a4967-04d2-4dce-ac7b-eda45ae5431e	Regular	alans-bakery	/Kokosh cake	Heimish Cinnamon Kokosh CAKE	Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c1d	c5e93659-79ea-4e05-9b60-f6a674aab07e	Regular	alans-bakery	/Kokosh cake	Heimish Kokosh CAKE	Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c49	b6775050-4da4-46c9-aa80-7a1f9d71dab2	Regular	alans-bakery	/Mini cupcakes 12 pack	MINI BLACK and WHITE Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c9e	a7e95a40-3a35-4bfe-89ee-1f980d79b4c9	Regular	alans-bakery	/Large fancy cupcakes	LARGE FANCY CREAM Cupcakes	4 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c94	3437a2b3-5376-402c-967f-92a7374ce026	Regular	alans-bakery	/Large fancy cupcakes	LARGE FUDGE Cupcakes	4 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c99	27808abb-e002-4cf8-bb63-dd833df049ae	Regular	alans-bakery	/Large fancy cupcakes	LARGE Hostess Cupcakes	4 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c8f	a1698261-34b2-4647-b05f-4fbeeabaec9f	Regular	alans-bakery	/Large fancy cupcakes	LARGE OREO Cupcakes	4 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c89	255ce024-8673-4504-ad96-821ed55323d9	Regular	alans-bakery	/Large fancy cupcakes	LARGE RED Velvet Cupcakes	4 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c78	b150b718-dd15-4257-9cad-99f19d360eea	Regular	alans-bakery	/Large Cupcakes	LARGE Sprinkle Cupcakes	6 in a pack; Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47ce8	ae4b8b96-543f-4245-8182-f6861969e302	Regular	alans-bakery	/Fancy cream pies	LEMON Meringue PIE	9 inches (fancy); Baked fresh by Alan, Packaged by Glick's	14.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c38	e109a79e-8ecd-4e66-ab5e-0ec5b11a30d0	Regular	alans-bakery	/Mandelbreads	Marble Mandelbread	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c2d	840d1039-dbb5-4aa4-987b-965164c8a917	Regular	alans-bakery	/Pound cakesloafs	Marble Philly FLUFF CAKE	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cb9	77aa2282-6b30-44f1-8281-f2d76f12a0c0	Regular	alans-bakery	/Brownie Cakes	Marshmallow FLUFF Brownie CAKE	Marshmallow Fluff Brownie Cake.	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c53	16ad453e-6edb-4446-ae1f-6aa15ab4a3ee	Regular	alans-bakery	/Mini cupcakes 12 pack	MINI Assorted COLOR Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c4e	694c6a26-4b69-4500-98cc-7912aa90e003	Regular	alans-bakery	/Mini cupcakes 12 pack	MINI BLUE and WHITE Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c6b	9b53d5cc-8838-4ac5-a785-890af145b068	Regular	alans-bakery	/Mini fancy cream cupcakes 12 pack	MINI FUDGE Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c70	1e47d41c-63b0-4418-b4ba-d57aadea54b2	Regular	alans-bakery	/Mini fancy cream cupcakes 12 pack	MINI Hostess Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c66	2632b8e3-9542-4b2e-8dfe-376e094dadd9	Regular	alans-bakery	/Mini fancy cream cupcakes 12 pack	MINI OREO Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c5d	cb3b6292-0418-47ff-8bff-251395f25c93	Regular	alans-bakery	/Mini fancy cream cupcakes 12 pack	MINI RED Velvet Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
