Product ID [Non Editable]	Variant ID [Non Editable]	Product Type [Non Editable]	Product Page	Product URL	Title	Description	SKU	Option Name 1	Option Value 1	Option Name 2	Option Value 2	Option Name 3	Option Value 3	Option Name 4	Option Value 4	Option Name 5	Option Value 5	Option Name 6	Option Value 6	Price	Sale Price	On Sale	Stock	Categories	Tags	Weight	Length	Width	Height	Visible
67cf7c49fcb668047bcf7b0b	ffb085ca-9626-4bc2-99ef-6ce596a842ef	PHYSICAL	mazza-and-more	meat-samboosak	MEAT Samboosak	MEAT Samboosak.	SQ4614771													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7aac59814a34043d900d	8fbfbfbe-3182-448f-8574-84f9bc892b61	PHYSICAL	mazza-and-more	medium-assorted-chocolate-platter	Medium Assorted Chocolate Platter	4 Assorted Chocolate. Approx 38-40 Pieces. YOSHON-PARVE	SQ2023804													60	0	No	Unlimited	/Desserts		0	0	0	0	Yes
67cf7a201db0b0451a3bcae7	01c7e960-8255-46eb-b379-b319753307ba	PHYSICAL	mazza-and-more	medium-assorted-cookies-22-25-pcs	Medium Assorted Cookies (22-25 Pcs)	3-4 Assorted Cookies. Approx 22-25 Pieces. YOSHON-PARVE	SQ6392358													42	0	No	Unlimited	/Desserts		0	0	0	0	Yes
67cf722237af9573f62df364	151ee2f3-817b-41ba-b63c-a05846687cd1	PHYSICAL	mazza-and-more	medium-mazza-platter-meat	Medium MAZZA Platter	6 pcs of 6 Assorted Mazza Items. Comes with Tehina on a reheatable tray. (Serves 3-6 People. photo example only)	SQ1969023													79.2	0	No	Unlimited	/Platters		0	0	0	0	Yes
67cf710937af9573f62df24b	af5d53b1-47e1-4571-8943-bf8062aea397	PHYSICAL	mazza-and-more	medium-purim-jerky-platter	Medium PURIM JERKY Platter	8 oz assorted salami 4 oz beef jerky 1.5 oz honey mustard	SQ8174719													72	0	No	Unlimited	/Specials		0	0	0	0	Yes
67cf7d1efcb668047bcf7bd4	8cb1e8de-07af-491b-a3d1-00db44395a62	PHYSICAL	mazza-and-more	mini-hot-dog-in-blanket	MINI HOT DOG IN Blanket	MINI HOT DOG IN Blanket.	SQ1945800													25.2	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7c621db0b0451a3bccbd	8b9e198f-413f-482f-9edf-45af38bf704c	PHYSICAL	mazza-and-more	moroccan-meat-cigars	Moroccan MEAT Cigars	Moroccan MEAT Cigars.	SQ4070453													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7cbb59814a34043d91d6	e50af63b-4abc-44b5-b39c-93e77a91631b	PHYSICAL	mazza-and-more	pastrami-wonton	Pastrami Wonton	Pastrami Wonton.	SQ9039601													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7e1d59814a34043d9325	965750e9-db80-4eed-acf9-2b21a323fd3a	PHYSICAL	mazza-and-more	pretzel-chicken	Pretzel Chicken	Price Per Dozen	SQ3912127													27.6	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7c9c37af9573f62dfe46	4068dcb3-672d-4582-b39a-235f1ada801b	PHYSICAL	mazza-and-more	pulled-beef-wonton	Pulled BEEF Wonton	Pulled BEEF Wonton.	SQ0445300													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf70351db0b0451a3bc063	6194e2fe-a34f-4dc2-bb35-f1ce539615de	PHYSICAL	mazza-and-more	purim-large-meat-platter	PURIM LARGE MEAT Platter	1 dz Kibbe 1 dz Lahamagene 1 dz Pulled Beef Wonton 1 dz Chicken Wonton 1 dz Knishes 1 dz Samboosak 1 lb Sesame Chicken 8 oz Tehineh	SQ2598242													168	0	No	Unlimited	/Specials		0	0	0	0	Yes
67cf6fe51db0b0451a3bc013	6051cb5a-98ec-41da-a9a2-95f29027d093	PHYSICAL	mazza-and-more	purim-medium-mazza-platter	PURIM Medium MAZZA Platter	1 Dozen Kibbeh 1 Dozen Lahamagene 1 Dozen Sweet Chicken 1 Dozen meat Cigars 8 oz Tehina	SQ5515806													102	0	No	Unlimited	/Specials		0	0	0	0	Yes
67cf6e2a59814a34043d8359	fcd7f448-c81e-44a0-83b7-3d6803ec31cb	PHYSICAL	mazza-and-more	purim-salad-platter	PURIM SALAD Platter	6 Assorted Salads	SQ2798794													48	0	No	Unlimited	/Specials		0	0	0	0	Yes
67cf6fa437af9573f62df104	e6c22624-101c-4e1e-817f-8b8b12c0a761	PHYSICAL	mazza-and-more	purim-small-meat-platter	PURIM SMALL MEAT Platter	6 Kibbe 6 Lahamagene 6 Pulled Beef Wonton 6 Deli Puffs 1/2 lb Sweet Chicken 8 oz. Tehineh	SQ6890701													79.2	0	No	Unlimited	/Specials		0	0	0	0	Yes
67cf7992fcb668047bcf78b9	6f45fa63-1882-414a-93db-9102ab23ddff	PHYSICAL	mazza-and-more	small-assorted-candy-platter	SMALL Assorted CANDY Platter	6-7 Assorted Sweet & Sour Candies. Approx 65-70 Pieces.	SQ1934769													30	0	No	Unlimited	/Desserts		0	0	0	0	Yes
67cf7a8037af9573f62dfc6d	a228dfb5-0661-439b-9e02-99b60210d2b7	PHYSICAL	mazza-and-more	small-assorted-chocolate-platter	SMALL Assorted Chocolate Platter	4 Assorted Chocolate. Approx 23-25 Pieces. YOSHON-PARVE	SQ3121754													36	0	No	Unlimited	/Desserts		0	0	0	0	Yes
67cf79fa59814a34043d8f84	5e49ec52-8d1c-4947-9fba-aa1ea5138796	PHYSICAL	mazza-and-more	small-assorted-cookies-12-14-pc	SMALL Assorted Cookies (12-14 Pc)	3-4 Assorted Cookies. Approx 12-14 Pieces. YOSHON-PARVE	SQ3917557													30	0	No	Unlimited	/Desserts		0	0	0	0	Yes
67cf70dc37af9573f62df22b	9a08a80b-ec1d-4140-92f9-387ab2b08b43	PHYSICAL	mazza-and-more	small-purim-jerky-platter	SMALL PURIM JERKY Platter	4 oz salami 4 oz beef jerky 1 oz honey mustard	SQ7261107													48	0	No	Unlimited	/Specials		0	0	0	0	Yes
